"Date/Time","City","State","Country","Shape","Duration","Summary","Posted","Image","URL","ID","madar"
"12/22/22 10:50","Ahmedabad","","","Unknown","15 seconds","It was moving very fast, and travelling speed and direction was uneven","12/22/22","","https://www.nuforc.org/webreports/reports/173/S173517.html","1X2023.01.29.09.41.02",FALSE
"12/22/22 09:29","Newark","DE","USA","Light","30 secomds","I saw a light that was not flashing moving then disappeared","12/22/22","","https://www.nuforc.org/webreports/reports/173/S173518.html","2X2023.01.29.09.41.02",FALSE
"12/22/22 00:00","Johannesburg","Gauteng","South Africa","Triangle","15 min","Strange flying objects moving in different directions","12/22/22","Yes","https://www.nuforc.org/webreports/reports/173/S173508.html","3X2023.01.29.09.41.02",FALSE
"12/21/22 21:33","Columbus","OH","USA","Light","1-2 minutes","4-5 orange balls of light in a straight line","12/22/22","","https://www.nuforc.org/webreports/reports/173/S173511.html","4X2023.01.29.09.41.02",FALSE
"12/21/22 17:40","Didcot","Oxfordshire","United Kingdom","Circle","2 minutes","Low cloud, 5 lights circling in the distance, then 5 lights directly over my car","12/22/22","","https://www.nuforc.org/webreports/reports/173/S173519.html","5X2023.01.29.09.41.02",FALSE
"12/21/22 07:55","Essex","ON","Canada","Changing","20 minutes","Driving seeing what looks like comets only motionless. Took video. One was straight up and down. Disappear reappears.","12/22/22","","https://www.nuforc.org/webreports/reports/173/S173500.html","6X2023.01.29.09.41.02",FALSE
"12/21/22 04:11","Franklin","ME","USA","Light","2 hours","Hovering bright light with satellite lights expelling from it","12/22/22","","https://www.nuforc.org/webreports/reports/173/S173509.html","7X2023.01.29.09.41.02",FALSE
"12/20/22 23:30","East Greenwich","RI","USA","Light","3 seconds maybe even less","I was driving the interstate at night with my buddy headed to casino when a very bright flashing light appeared in the horizon","12/22/22","","https://www.nuforc.org/webreports/reports/173/S173522.html","8X2023.01.29.09.41.02",FALSE
"12/20/22 21:58","Mentor Headlands","OH","USA","Cylinder","A few minutes","Looked cylindrical from the lights, changing colors from white to red to orange then yellow back to white, .","12/22/22","","https://www.nuforc.org/webreports/reports/173/S173497.html","9X2023.01.29.09.41.02",FALSE
"12/20/22 02:30","Washington DC","WA","USA","Triangle","1-2 minutes","Object hovering 1-2 minutes, then disappeared with such a speed that clouds were moving,","12/22/22","","https://www.nuforc.org/webreports/reports/173/S173499.html","10X2023.01.29.09.41.02",FALSE
"12/20/22 02:00","Tucson","AZ","USA","Sphere","5 minutes","Saw a giant glowing sphere with lights going around and around in a circle","12/22/22","","https://www.nuforc.org/webreports/reports/173/S173505.html","11X2023.01.29.09.41.02",FALSE
"12/20/22 01:04","New Gretna","NJ","USA","Sphere","20 minutes","Silver sphere with super bright lights on bottom, zigzagging and ""teleporting"" at impossible speed and angles for 20 minutes","12/22/22","","https://www.nuforc.org/webreports/reports/173/S173488.html","12X2023.01.29.09.41.02",FALSE
"12/19/22 00:05","Orlando","FL","USA","Cylinder","1hour","Five gold orbs, turning white, Cylinder","12/22/22","Yes","https://www.nuforc.org/webreports/reports/173/S173492.html","13X2023.01.29.09.41.02",FALSE
