"Date/Time","City","State","Country","Shape","Duration","Summary","Posted","Image","URL","ID","madar"
"6/22/22 15:45","Hampden","MA","USA","Disk","2 minutes","I Saw a darkish grey disk going in and out of the clouds.","6/22/22","","https://www.nuforc.org/webreports/reports/168/S168826.html","1X2022.07.16.11.15.10",FALSE
"6/22/22 10:40","Covington","LA","USA","Cigar","10 seconds","Lake Pontchartrain causeway","6/22/22","","https://www.nuforc.org/webreports/reports/168/S168734.html","2X2022.07.16.11.15.10",FALSE
"6/22/22 03:40","Coloma","MI","USA","Changing","5+ minutes","Bright light plasma esque possibly spinning?","6/22/22","","https://www.nuforc.org/webreports/reports/168/S168739.html","3X2022.07.16.11.15.10",FALSE
"6/22/22 02:08","Stamford","CT","USA","Circle","10 minutes","Alien being and massive space craft behind it","6/22/22","","https://www.nuforc.org/webreports/reports/168/S168663.html","4X2022.07.16.11.15.10",FALSE
"6/21/22 23:15","Arden","NC","USA","Disk","Up to one minute","I saw it last night dance across the sky","6/22/22","","https://www.nuforc.org/webreports/reports/168/S168736.html","5X2022.07.16.11.15.10",FALSE
"6/21/22 20:44","Irwin","PA","USA","Cross","15seconds","A white silvery craft. No sound or exhaust","6/22/22","","https://www.nuforc.org/webreports/reports/168/S168738.html","6X2022.07.16.11.15.10",FALSE
"6/21/22 20:30","Biddeford","ME","USA","Light","15 minutes","Bright led light split into 3 separate lights, then joined back then separated again.","6/22/22","Yes","https://www.nuforc.org/webreports/reports/168/S168735.html","7X2022.07.16.11.15.10",FALSE
"6/21/22 20:23","Buffalo, NY","NY","USA","Cigar","16 seconds +/-1 second Fs","Possible plane, 1 frame of cigar shaped time-space dilation and hypersonic velocity at a downward angle.","6/22/22","Yes","https://www.nuforc.org/webreports/reports/168/S168747.html","8X2022.07.16.11.15.10",FALSE
"6/21/22 15:15","Norwich","Norfolk","United Kingdom","Disk","4 seconds","These objects were identified in the photos after I got home from a walk","6/22/22","Yes","https://www.nuforc.org/webreports/reports/168/S168756.html","9X2022.07.16.11.15.10",FALSE
"6/21/22 10:57","Bertram","TX","USA","Cigar","1 minute","Tube shaped object gray in color and then turned into a brilliant light and was gone.","6/22/22","","https://www.nuforc.org/webreports/reports/168/S168761.html","10X2022.07.16.11.15.10",FALSE
"6/21/22 02:00","San Bernadino","CA","USA","Changing","15 mins","In a clear night I see a light that I thought was the moon appear to change shape, fade away, and then reappear and vanish again","6/22/22","","https://www.nuforc.org/webreports/reports/168/S168737.html","11X2022.07.16.11.15.10",FALSE
"6/20/22 23:35","Burton on trent","Staffordshire","United Kingdom","","15mins","Looked light stars but moving fast","6/22/22","","https://www.nuforc.org/webreports/reports/168/S168769.html","12X2022.07.16.11.15.10",FALSE
"6/20/22 22:00","Cheney","KS","USA","Circle","30 seconds","2 orange lights corkscrew and fly in opposite directions.","6/22/22","","https://www.nuforc.org/webreports/reports/168/S168762.html","13X2022.07.16.11.15.10",FALSE
"6/20/22 18:30","Chicago height","IL","USA","Fireball","","Flying red light. Look like it was on fire with a glow","6/22/22","Yes","https://www.nuforc.org/webreports/reports/168/S168763.html","14X2022.07.16.11.15.10",FALSE
"6/20/22 16:02","Pleasantville","IA","USA","Circle","Picture","Looking out the garage","6/22/22","Yes","https://www.nuforc.org/webreports/reports/168/S168771.html","15X2022.07.16.11.15.10",FALSE
"6/20/22 11:55","Lakeville","MA","USA","Sphere","3 minutes","Saw spherical craft high up in the air while laying down. Pulled out phone and started recording caught next 3 on camera within 3 secs","6/22/22","","https://www.nuforc.org/webreports/reports/168/S168827.html","16X2022.07.16.11.15.10",FALSE
"6/20/22 07:35","Dandridge","TN","USA","Egg","2-3 seconds","silver egg flies through the morning sky + disappears.","6/22/22","","https://www.nuforc.org/webreports/reports/168/S168768.html","17X2022.07.16.11.15.10",FALSE
"6/20/22 04:46","Saint Petersburg","FL","USA","Unknown","7 min","Walking Dog when I saw this","6/22/22","","https://www.nuforc.org/webreports/reports/168/S168781.html","18X2022.07.16.11.15.10",FALSE
"6/20/22 01:17","Royal Oak","MI","USA","Changing","about 15 minutes","Moving, roving cylindrical lights moving toward the camera and yard.","6/22/22","","https://www.nuforc.org/webreports/reports/168/S168772.html","19X2022.07.16.11.15.10",FALSE
"6/20/22 01:00","Kansas City","MO","USA","Triangle","At least 1 hour","Fast moving agile lights seen over Worlds of Fun.","6/22/22","Yes","https://www.nuforc.org/webreports/reports/168/S168779.html","20X2022.07.16.11.15.10",FALSE
"6/19/22 23:43","Senoia","GA","USA","Circle","2 minutes","See my video","6/22/22","","https://www.nuforc.org/webreports/reports/168/S168767.html","21X2022.07.16.11.15.10",FALSE
"6/19/22 23:05","Rancho Cucamonga","CA","USA","Circle","1hr+","4 lights on the top of the mountain","6/22/22","Yes","https://www.nuforc.org/webreports/reports/168/S168785.html","22X2022.07.16.11.15.10",FALSE
"6/19/22 22:45","Woodbridge/parkway","NJ","USA","Sphere","Few seconds","Very fast moving ball of light","6/22/22","","https://www.nuforc.org/webreports/reports/168/S168775.html","23X2022.07.16.11.15.10",FALSE
"6/19/22 22:00","LaGrange/West Point","GA","USA","Unknown","5-10 minutes","Very bright, lined-up white lights, and fast-blinking red light, moving slowly southbound along I-85, that disappeared when passed","6/22/22","","https://www.nuforc.org/webreports/reports/168/S168788.html","24X2022.07.16.11.15.10",FALSE
"6/19/22 20:55","Queens","NY","USA","Circle","About 6 min","7-8 round mostly stationary, quick moving lights clustered and performing different formations","6/22/22","Yes","https://www.nuforc.org/webreports/reports/168/S168777.html","25X2022.07.16.11.15.10",FALSE
"6/19/22 17:10","Dallas","TX","USA","Cylinder","Approx 3 to 4 min","Looked up saw flash took pics and captured cylinder which I didn't see at first","6/22/22","Yes","https://www.nuforc.org/webreports/reports/168/S168793.html","26X2022.07.16.11.15.10",FALSE
