"Date/Time","City","State","Country","Shape","Duration","Summary","Posted","Image","URL","ID","madar"
"3/5/23 23:10","Newport","WA","USA","Changing","20 minutes","Sighting of a very colorful flashing ufo in the western sky from our house in Pend Oreille County Washington","3/6/23","","https://www.nuforc.org/webreports/reports/174/S174897.html","1X2023.03.19.11.13.07",FALSE
"3/5/23 21:33","Shelby Township","MI","USA","Light","3-5 seconds","Falling bright light","3/6/23","","https://www.nuforc.org/webreports/reports/174/S174895.html","2X2023.03.19.11.13.07",FALSE
"3/5/23 20:47","Villas","NJ","USA","Diamond","Few minutes long","Low flying aircraft","3/6/23","Yes","https://www.nuforc.org/webreports/reports/174/S174894.html","3X2023.03.19.11.13.07",FALSE
"3/5/23 20:40","Highland","MI","USA","Triangle","3-5 seconds","Triangle shape of lights very dim","3/6/23","","https://www.nuforc.org/webreports/reports/174/S174892.html","4X2023.03.19.11.13.07",FALSE
"3/5/23 19:00","Mooresville","NC","USA","Orb","10 seconds","Turquoise colored light traveling from south to north performing high speed maneuvers and directional changes.","3/6/23","Yes","https://www.nuforc.org/webreports/reports/174/S174900.html","5X2023.03.19.11.13.07",FALSE
"3/5/23 16:40","Richmond","VA","USA","Changing","10 min","Very high altitude - slow moving - no contrail - very bright","3/6/23","","https://www.nuforc.org/webreports/reports/174/S174888.html","6X2023.03.19.11.13.07",FALSE
"3/5/23 14:07","Glenhaven","","","Cube","Wolfgang Johnny","Like a clear beach ball with the cube in it","3/6/23","","https://www.nuforc.org/webreports/reports/174/S174889.html","7X2023.03.19.11.13.07",FALSE
"3/5/23 13:20","Willis","VA","USA","Sphere","3 minutes","I saw a whitish sphere overhead that look like it was not moving until it moved up and turned red and disappeared.","3/6/23","","https://www.nuforc.org/webreports/reports/174/S174887.html","8X2023.03.19.11.13.07",FALSE
"3/5/23 12:30","Los Angeles","CA","USA","Changing","4 min","Dark object triangular changed shape","3/6/23","Yes","https://www.nuforc.org/webreports/reports/174/S174886.html","9X2023.03.19.11.13.07",FALSE
"3/5/23 03:30","","","USA","Formation","At least 30 minutes","Four to five pulsating bright lights that would fade in and out and would move around each other.","3/6/23","","https://www.nuforc.org/webreports/reports/174/S174884.html","10X2023.03.19.11.13.07",FALSE
"3/5/23 02:35","Blue springs","MO","USA","Light","Three seconds.","Seen several lights flying together in the night sky.","3/6/23","","https://www.nuforc.org/webreports/reports/174/S174876.html","11X2023.03.19.11.13.07",FALSE
"3/5/23 00:43","Springfield","IL","USA","Circle","7-9 seconds","Circle shaped object travelling very fast in West-southwest direction.","3/6/23","","https://www.nuforc.org/webreports/reports/174/S174878.html","12X2023.03.19.11.13.07",FALSE
"3/5/23 00:30","Brooklyn","NY","USA","Light","Atleast 10 mins","Light object sky, In Brooklyn towards Manhattan","3/6/23","Yes","https://www.nuforc.org/webreports/reports/174/S174881.html","13X2023.03.19.11.13.07",FALSE
"3/4/23 23:49","Enid","OK","USA","Formation","","It suddenly appeared over rhe neighbors house and went from south to north pretty quickly. Maybe 50 60mph","3/6/23","Yes","https://www.nuforc.org/webreports/reports/174/S174880.html","14X2023.03.19.11.13.07",FALSE
"3/4/23 23:00","Thermal","CA","USA","Circle","I have pictures at differ","They looked like stars but as time passed they would have moved and they did not","3/6/23","","https://www.nuforc.org/webreports/reports/174/S174898.html","15X2023.03.19.11.13.07",FALSE
"3/4/23 21:44","Cancun","Quintana Roo","Mexico","Star","10 secs in total","South south west of Orion, between Sirius and 1 hand of Orion","3/6/23","","https://www.nuforc.org/webreports/reports/174/S174875.html","16X2023.03.19.11.13.07",FALSE
"3/4/23 20:03","Myrtle Beach","SC","USA","Disk","seconds","Two visible, slanted, lighted disks observed for mere seconds and seemed to disappear.","3/6/23","Yes","https://www.nuforc.org/webreports/reports/174/S174873.html","17X2023.03.19.11.13.07",FALSE
"3/4/23 19:30","White deer township","PA","USA","Light","14+ min","Saw two bright lights fairly high up appearing stationary at first with light being on for 30+ seconds","3/6/23","","https://www.nuforc.org/webreports/reports/174/S174871.html","18X2023.03.19.11.13.07",FALSE
"3/4/23 16:43","Raleigh","NC","USA","Light","35 mins","Pi shaped object or light in the afternoon sky","3/6/23","","https://www.nuforc.org/webreports/reports/174/S174879.html","19X2023.03.19.11.13.07",FALSE
"3/4/23 15:04","Murray","KY","USA","Orb","6 minutes","A giant white orb bigger than a house.","3/6/23","Yes","https://www.nuforc.org/webreports/reports/174/S174869.html","20X2023.03.19.11.13.07",FALSE
"3/4/23 15:04","Greenville S C","SC","USA","Orb","minutes not sure","Glare caught my eye, white orb turning grey filmed reviewed show the blue light going up to a bulb. I have frame by frame of a craft !","3/6/23","","https://www.nuforc.org/webreports/reports/174/S174872.html","21X2023.03.19.11.13.07",FALSE
"3/4/23 03:04","North Rock Springs","WY","USA","Light","1 hour+","My fiance and Isaw moving yellow lights engaging in high speed maneuvers","3/6/23","","https://www.nuforc.org/webreports/reports/174/S174864.html","22X2023.03.19.11.13.07",FALSE
"3/3/23 20:19","Dandridge","TN","USA","Light","<10 seconds","Bright red light moving horizontally from W to E","3/6/23","","https://www.nuforc.org/webreports/reports/174/S174862.html","23X2023.03.19.11.13.07",FALSE
"3/3/23 19:15","HOLLISTER","CA","USA","Fireball","3 MINUTES","Two fire-red objects, 500 feet up, were traveling from the south, heading north, and slowly climbing.","3/6/23","","https://www.nuforc.org/webreports/reports/174/S174874.html","24X2023.03.19.11.13.07",FALSE
"3/3/23 18:05","Scottsdale","AZ","USA","Rectangle","Lasting 5+ minutes","A metallic light in sky that would appear every 5 seconds or so","3/6/23","","https://www.nuforc.org/webreports/reports/174/S174867.html","25X2023.03.19.11.13.07",FALSE
"3/3/23 11:12","Sydney","New South Wales","Australia","Cylinder","16 min","Space ship was flying over Anzac Bridge","3/6/23","","https://www.nuforc.org/webreports/reports/174/S174846.html","26X2023.03.19.11.13.07",FALSE
"3/3/23 06:20","Saint Johns","MI","USA","Orb","10 seconds","Orange orb bright in cloudy sky disappeared into clouds","3/6/23","","https://www.nuforc.org/webreports/reports/174/S174861.html","27X2023.03.19.11.13.07",FALSE
"3/2/23 23:28","Farmville","VA","USA","Unknown","10 minutes","Looked where we had seen previously and noted one object with colored lights somewhat higher than our previous sighting","3/6/23","","https://www.nuforc.org/webreports/reports/174/S174850.html","28X2023.03.19.11.13.07",FALSE
"3/2/23 20:38","Barnstable","Devon","United Kingdom","Circle","","3 circles lit up in dark sky.  NUFORC Note: Jupiter and Venus","3/6/23","Yes","https://www.nuforc.org/webreports/reports/174/S174844.html","29X2023.03.19.11.13.07",FALSE
"3/2/23 19:21","Edgewood/ Sandia Park","NM","USA","Light","2-3 seconds","Dull red light traveling at a incredibly fast speed","3/6/23","","https://www.nuforc.org/webreports/reports/174/S174849.html","30X2023.03.19.11.13.07",FALSE
