"Date/Time","City","State","Country","Shape","Duration","Summary","Posted","Image","URL","ID"
"5/12/22 22:16","Gulfport","MS","USA","Circle","Just about 10 seconds","saw 2 very huge Florissant ((sic.  Fluorescent)) green circles that seemed attached that were vertical,moving south to north in the sky","5/31/22","","https://www.nuforc.org/webreports/reports/167/S167869.html","1X2022.06.05.10.29.06"
"5/12/22 06:30","Whittlesey","Cambridgeshire","United Kingdom","Light","10-15 mins","A moving orb which went into the sky and then towards us . It never followed a straight path and moved in several directions .","5/31/22","Yes","https://www.nuforc.org/webreports/reports/167/S167813.html","2X2022.06.05.10.29.06"
"5/12/22 04:00","Windham","ME","USA","Circle","about 4 minutes","Formation of about 50 of more ufo's moving to the north east.  ((NUFOC Note:  Prbably Starlink satellites.  P))","5/31/22","","https://www.nuforc.org/webreports/reports/167/S167831.html","3X2022.06.05.10.29.06"
"5/12/22 00:38","Liverpool","United Kingdom","United Kingdom","Unknown","4 seconds","Bright ++ white light flying in a downwards direction then disappeared after approx 4 seconds.","5/31/22","","https://www.nuforc.org/webreports/reports/167/S167838.html","4X2022.06.05.10.29.06"
"5/12/22 00:01","Gordonsville","WV","USA","Unknown","15 minutes","AC reported numerous slow moving lights west to east above flight level 390","5/31/22","","https://www.nuforc.org/webreports/reports/167/S167829.html","5X2022.06.05.10.29.06"
"5/11/22 23:21","Valleystream","NY","USA","Circle","About 4-5 mins","Bright reddish orange color light that seemed to be circular moving with no real flight path","5/31/22","","https://www.nuforc.org/webreports/reports/167/S167872.html","6X2022.06.05.10.29.06"
"5/11/22 23:17","Amarillo","TX","USA","Light","12:45","Jolting dot of light in the sky","5/31/22","","https://www.nuforc.org/webreports/reports/167/S167870.html","7X2022.06.05.10.29.06"
"5/11/22 22:45","Comfort","TX","USA","Unknown","1 second","Looking out the window over the hay field a bright light shot across the eastern sky from south to north relatively low on the horizon.","5/31/22","","https://www.nuforc.org/webreports/reports/167/S167828.html","8X2022.06.05.10.29.06"
"5/11/22 22:25","Nampa","ID","USA","Light","10 minutes","Flashing aircraft flying","5/31/22","","https://www.nuforc.org/webreports/reports/167/S167833.html","9X2022.06.05.10.29.06"
"5/11/22 22:15","Patrick Springs","VA","USA","Fireball","Maybe 30 secs","Green ball of light with no tail dropping out of sky.","5/31/22","","https://www.nuforc.org/webreports/reports/167/S167835.html","10X2022.06.05.10.29.06"
"5/11/22 20:45","Morristown","TN","USA","Circle","20 minutes","We thought it was a planet, but no planets were able to be seen via Google sky at that time. We brought out a rudimentary telescope and","5/31/22","Yes","https://www.nuforc.org/webreports/reports/167/S167836.html","11X2022.06.05.10.29.06"
"5/11/22 14:45","Loxahatchee","FL","USA","Cylinder","40 minutes then I left","Cloudy, windy, yet bright day. Never moved, quiet not floating.","5/31/22","Yes","https://www.nuforc.org/webreports/reports/167/S167830.html","12X2022.06.05.10.29.06"
"5/11/22 13:12","Wilsonville","OR","USA","Disk","Took photo over contrail","Did not see by eye. Saw in photo taken.","5/31/22","Yes","https://www.nuforc.org/webreports/reports/167/S167842.html","13X2022.06.05.10.29.06"
"5/11/22 12:20","Jacksonville","FL","USA","Disk","10 seconds","Disk , dark , 10 seconds","5/31/22","","https://www.nuforc.org/webreports/reports/167/S167832.html","14X2022.06.05.10.29.06"
"5/11/22 09:00","Miami","FL","USA","Rectangle","3 hours","Very high in the sky. Moved kinda slowly in unorganized pattern but overall heading west.","5/31/22","","https://www.nuforc.org/webreports/reports/167/S167811.html","15X2022.06.05.10.29.06"
"5/11/22 04:48","Florence","CO","USA","Light","4 TO 5 MIN","I OBSERVED APPROX. 60 LIGHTS IN THE SKY MOVING FROM WEST TO EAST AT 4:48 A.M. ON 5-11-22 ALL IN A SINGLE ROWE. ((Starlink satellites))","5/31/22","","https://www.nuforc.org/webreports/reports/167/S167844.html","16X2022.06.05.10.29.06"
"5/11/22 03:47","Amman","Amman Governorate","Jordan","Triangle","Less than a minute","Triangular-shaped UFO sighted flying over Amman, Jordan","5/31/22","","https://www.nuforc.org/webreports/reports/167/S167845.html","17X2022.06.05.10.29.06"
"5/10/22 22:30","Pangburn","AR","USA","Circle","One to two Minutes","The night sky was overcast and the Red ""star"" I saw was the only light in the sky. It stayed motionless and then flickered out.","5/31/22","","https://www.nuforc.org/webreports/reports/167/S167868.html","18X2022.06.05.10.29.06"
"5/10/22 18:17","Middletown","RI","USA","Cigar","5-10 Seconds","Bright Tic Tac Shaped UAP / UFO over Newport RI","5/31/22","","https://www.nuforc.org/webreports/reports/167/S167846.html","19X2022.06.05.10.29.06"
"5/10/22 18:10","Athens","GA","USA","Disk","20 seconds","Very shinny bright light.","5/31/22","","https://www.nuforc.org/webreports/reports/167/S167849.html","20X2022.06.05.10.29.06"
"5/10/22 07:10","Coral Gables","FL","USA","Other","5 minutes","The craft was stationary. In a few minutes it disappeared.","5/31/22","Yes","https://www.nuforc.org/webreports/reports/167/S167809.html","21X2022.06.05.10.29.06"
"5/10/22 06:44","Charlotte","NC","USA","Light","35 seconds","Light in the sky","5/31/22","","https://www.nuforc.org/webreports/reports/167/S167847.html","22X2022.06.05.10.29.06"
"5/9/22 23:00","","","USA","Changing","3hours","Some were white. Others were very high in air.they hovering some were going dark and they were all not making any sound","5/31/22","","https://www.nuforc.org/webreports/reports/167/S167848.html","23X2022.06.05.10.29.06"
"5/9/22 22:25","Nampa","ID","USA","Light","10 minutes","I saw 3 aircraft flying in different directions","5/31/22","","https://www.nuforc.org/webreports/reports/167/S167769.html","24X2022.06.05.10.29.06"
"5/9/22 21:48","Scarsdale","NY","USA","Oval","One minute","I looked up at the night sky from my driveway. Object moving across the sky at a high speed was solid white","5/31/22","","https://www.nuforc.org/webreports/reports/167/S167772.html","25X2022.06.05.10.29.06"
"5/9/22 20:35","New York","NY","USA","Unknown","5 minutes","3 airborne objects lit with orange lights seen over Manhattan","5/31/22","","https://www.nuforc.org/webreports/reports/167/S167850.html","26X2022.06.05.10.29.06"
"5/9/22 17:10","Grayson","","","","Spam","((HOAX))  11111","5/31/22","","https://www.nuforc.org/webreports/reports/167/S167686.html","27X2022.06.05.10.29.06"
"5/9/22 14:06","Boca Raton","FL","USA","Other","15-20 mins","Object about 10k feet high did not move as it hovered.","5/31/22","","https://www.nuforc.org/webreports/reports/167/S167771.html","28X2022.06.05.10.29.06"
"5/9/22 12:00","Ragged point","CA","USA","Egg","4 seconds","The object moved very fast east to west going over the ocean in just a few seconds at an estimated altitude of 5000 ft","5/31/22","","https://www.nuforc.org/webreports/reports/167/S167810.html","29X2022.06.05.10.29.06"
"5/8/22 23:30","Hailey","ID","USA","Sphere","Seconds","A bright round light","5/31/22","","https://www.nuforc.org/webreports/reports/167/S167784.html","30X2022.06.05.10.29.06"
"5/8/22 22:30","Fort Lauderdale","FL","USA","Unknown","15 seconds","Two glowing orange lights moved rapidly across the sky keeping a constant distance between them and then climbed rapidly out of sight","5/31/22","","https://www.nuforc.org/webreports/reports/167/S167787.html","31X2022.06.05.10.29.06"
"5/8/22 21:42","Mansfield","","","Oval","","I seen an UFO hovering. It looked to be an oval shape and/or cigar shape.","5/31/22","","https://www.nuforc.org/webreports/reports/167/S167789.html","32X2022.06.05.10.29.06"
"5/8/22 21:20","Tulum","Yucatán","Mexico","Star","5 seconds","Small dot of light, looked like a satellite, moving in straight line. Then, sudden change of direction, significant change of speed.","5/31/22","","https://www.nuforc.org/webreports/reports/167/S167788.html","33X2022.06.05.10.29.06"
"5/8/22 20:45","Chisholm","MN","USA","","A few minutes","Lights","5/31/22","Yes","https://www.nuforc.org/webreports/reports/167/S167773.html","34X2022.06.05.10.29.06"
"5/8/22 20:40","La Vergne","TN","USA","Fireball","20 seconds or so","Large bright orange light resembling a flickering flame flew steadily across the sky","5/31/22","","https://www.nuforc.org/webreports/reports/167/S167791.html","35X2022.06.05.10.29.06"
"5/8/22 19:48","naples","FL","USA","Sphere","45 minutes","did not move and faded as sun set on it.","5/31/22","","https://www.nuforc.org/webreports/reports/167/S167792.html","36X2022.06.05.10.29.06"
"5/8/22 19:30","Gatlinburg","TN","USA","Unknown","10 minutes","Large bright orange glowing light that moved across the mountains. The sky appeared completely clouded during this glow","5/31/22","Yes","https://www.nuforc.org/webreports/reports/167/S167790.html","37X2022.06.05.10.29.06"
"5/8/22 19:30","Orlando","FL","USA","Circle","2 minutes roughly","Craft was emerald green flickering straight high above all other flying aircraft & silent & at times & disappearing at other times","5/31/22","","https://www.nuforc.org/webreports/reports/167/S167780.html","38X2022.06.05.10.29.06"
"5/8/22 17:51","menasha","WI","USA","Unknown","","we noticed it in a photo and we cant figure out what it might be","5/31/22","Yes","https://www.nuforc.org/webreports/reports/167/S167775.html","39X2022.06.05.10.29.06"
"5/8/22 15:30","Bessemer","MI","USA","Rectangle","5-7 seconds","Bright shiny reflective rectangle coming from the moon","5/31/22","","https://www.nuforc.org/webreports/reports/167/S167800.html","40X2022.06.05.10.29.06"
"5/8/22 14:00","","Kent","United Kingdom","Circle","30 seconds","I have video of the craft and I don’t know how to share this with the correct agency","5/31/22","","https://www.nuforc.org/webreports/reports/167/S167776.html","41X2022.06.05.10.29.06"
"5/8/22 05:15","LAKEWOOD","OH","USA","Circle","Longer than an hour","Seen 2 objects circular with lights Lakewood ohio","5/31/22","Yes","https://www.nuforc.org/webreports/reports/167/S167797.html","42X2022.06.05.10.29.06"
"5/8/22 04:30","Monroe","MI","USA","Light","Approximately 6 seconds.","Very fast moving light, high up","5/31/22","","https://www.nuforc.org/webreports/reports/167/S167798.html","43X2022.06.05.10.29.06"
"5/8/22 04:06","Miami","FL","USA","Light","1 minute","UFO made several looping maneuvers in the sky at incredible speed and precision before disappearing.","5/31/22","","https://www.nuforc.org/webreports/reports/167/S167795.html","44X2022.06.05.10.29.06"
