"Date/Time","City","State","Country","Shape","Duration","Summary","Posted","Image","URL","ID","madar"
"10/8/22 21:00","wauchula and myakka city","FL","USA","Changing","two months","Nightly Sightings of UAPs blatantly in your face, military chases observes crafts nightly.","10/8/22","Yes","https://www.nuforc.org/webreports/reports/172/S172219.html","1X2022.11.14.18.04.39",FALSE
"10/8/22 19:00","","","USA","Disk","","My son, wife and myself saw a portion of a saucer shaped disc with glowing off and on different colored lights.","10/8/22","","https://www.nuforc.org/webreports/reports/172/S172150.html","2X2022.11.14.18.04.39",FALSE
"10/7/22 21:50","Brcko","Brcko District","Bosnia and Herzegovina","Diamond","For about half hour.","Half circle trail with rainbow color bright dot.","10/8/22","Yes","https://www.nuforc.org/webreports/reports/172/S172223.html","3X2022.11.14.18.04.39",FALSE
"10/7/22 19:50","Bealeton","VA","USA","Fireball","One minute","I saw a fireball swirling around in the sky like no craft can do. It split into two parts and came back together into one","10/8/22","","https://www.nuforc.org/webreports/reports/172/S172222.html","4X2022.11.14.18.04.39",FALSE
"10/7/22 16:05","Melbourne","FL","USA","Sphere","25 seconds","Saw a small dark round object in western sky","10/8/22","","https://www.nuforc.org/webreports/reports/172/S172224.html","5X2022.11.14.18.04.39",FALSE
"10/7/22 07:34","Kristiansand","","Norway","Unknown","In the morning","Aliens try to make me disposal to them.","10/8/22","Yes","https://www.nuforc.org/webreports/reports/172/S172211.html","6X2022.11.14.18.04.39",FALSE
"10/7/22 00:30","Vidisha","Madhya Pradesh","India","Fireball","60min","Both craft were light circle moving each other,as taking round of one another..","10/8/22","","https://www.nuforc.org/webreports/reports/172/S172208.html","7X2022.11.14.18.04.39",FALSE
"10/6/22 23:00","","TN","USA","Changing","2 hr","Fluid like movement","10/8/22","Yes","https://www.nuforc.org/webreports/reports/172/S172209.html","8X2022.11.14.18.04.39",FALSE
"10/6/22 21:25","Jacksonville","NC","USA","Circle","10 - 20 seconds","Me and my daughter were driving to petsmart. We saw a flying object that was very large","10/8/22","","https://www.nuforc.org/webreports/reports/172/S172210.html","9X2022.11.14.18.04.39",FALSE
"10/6/22 19:47","Vinton","VA","USA","Light","2:31","I looked up and saw one light flashing then that one went off and another one above it came on they were doing that simultaneously","10/8/22","","https://www.nuforc.org/webreports/reports/172/S172199.html","10X2022.11.14.18.04.39",FALSE
"10/6/22 19:00","Brent","AL","USA","Light","5 min plus","Watched a bright white light pass overhead.","10/8/22","","https://www.nuforc.org/webreports/reports/172/S172202.html","11X2022.11.14.18.04.39",FALSE
"10/6/22 16:12","Baltimore","MD","USA","Unknown","5-10 minutes","20+ small black objects in sky above, moving in figure 8 motion cohesively","10/8/22","","https://www.nuforc.org/webreports/reports/172/S172201.html","12X2022.11.14.18.04.39",FALSE
"10/6/22 15:59","Oro valley","","","Circle","Unknown","I pointed my cell phone to get a picture of the cloud.","10/8/22","Yes","https://www.nuforc.org/webreports/reports/172/S172203.html","13X2022.11.14.18.04.39",FALSE
"10/6/22 10:10","Centreville","VA","USA","Teardrop","45 seconds","Two objects moving east to west that had a solid string of blue light coming down from them.","10/8/22","","https://www.nuforc.org/webreports/reports/172/S172213.html","14X2022.11.14.18.04.39",FALSE
"10/6/22 09:52","Palm City","FL","USA","Cigar","1 min in West Sky","White straight long object in sky not moving for about a minute and then disappeared fr","10/8/22","","https://www.nuforc.org/webreports/reports/172/S172212.html","15X2022.11.14.18.04.39",FALSE
"10/6/22 06:05","Port orange","FL","USA","Other","5 seconds","Boomerang shaped object","10/8/22","","https://www.nuforc.org/webreports/reports/172/S172214.html","16X2022.11.14.18.04.39",FALSE
"10/5/22 23:10","Baltimore","MD","USA","Chevron","30sec","Chevron or triangle shape craft with bright orange light...awkward movements and disappeared","10/8/22","","https://www.nuforc.org/webreports/reports/172/S172197.html","17X2022.11.14.18.04.39",FALSE
"10/5/22 20:05","Duluth","MN","USA","Cylinder","2 times at 3 mins each","It came from our atmosphere and below normal aircraft flight level in less then 10 seconds. Consistently changing directions and fligh","10/8/22","Yes","https://www.nuforc.org/webreports/reports/172/S172185.html","18X2022.11.14.18.04.39",FALSE
"10/5/22 19:48","Lynwood","CA","USA","Fireball","15 minutes","6 total fireballs one of them moving super fast shedding green cylinder light like space ship.","10/8/22","Yes","https://www.nuforc.org/webreports/reports/172/S172195.html","19X2022.11.14.18.04.39",FALSE
"10/5/22 12:55","Knoxville","TN","USA","Circle","10 seconds","Black grey sphere in sky","10/8/22","","https://www.nuforc.org/webreports/reports/172/S172184.html","20X2022.11.14.18.04.39",FALSE
"10/5/22 10:02","","","USA","Cylinder","","Seen ufo Carring a missle","10/8/22","","https://www.nuforc.org/webreports/reports/172/S172170.html","21X2022.11.14.18.04.39",FALSE
"10/4/22 23:07","Prescott","AZ","USA","Circle","A few minutes","Two red lights very high in the sky","10/8/22","","https://www.nuforc.org/webreports/reports/172/S172193.html","22X2022.11.14.18.04.39",FALSE
"10/4/22 22:12","Brandon","MB","Canada","Light","10 minutes","Through the trees in the grass field beside the highway","10/8/22","Yes","https://www.nuforc.org/webreports/reports/172/S172207.html","23X2022.11.14.18.04.39",FALSE
"10/4/22 22:00","Wilmington","NC","USA","Light","1 min","Bright orange light","10/8/22","","https://www.nuforc.org/webreports/reports/172/S172198.html","24X2022.11.14.18.04.39",FALSE
"10/4/22 21:15","Tyrone","PA","USA","Disk","","Saw an unusual flying object above my house","10/8/22","Yes","https://www.nuforc.org/webreports/reports/172/S172186.html","25X2022.11.14.18.04.39",FALSE
"10/4/22 20:30","Valdosta","GA","USA","Light","1 minute","Strange, large star light the same size as Jupiter that moved gracefully and slowly disappeared into very small red light","10/8/22","","https://www.nuforc.org/webreports/reports/172/S172187.html","26X2022.11.14.18.04.39",FALSE
"10/4/22 20:30","Northplatte","NE","USA","Other","30 seconds","Caught my eye just above me, picture wouldn't pick it up so I took a video still blurry but it was very loud and seemed fast","10/8/22","","https://www.nuforc.org/webreports/reports/172/S172173.html","27X2022.11.14.18.04.39",FALSE
"10/4/22 19:30","Rochester","IN","USA","Circle","Maybe 90 seconds","We both noticed the light and then it shrunk in size until it disappeared.","10/8/22","","https://www.nuforc.org/webreports/reports/172/S172172.html","28X2022.11.14.18.04.39",FALSE
"10/4/22 17:08","","","Hong Kong S.A.R.","Unknown","literally one frame iphon","its not visible in human eyes, have multiple photos/videos at that exact second, but only one captured the plane/UFO","10/8/22","Yes","https://www.nuforc.org/webreports/reports/172/S172167.html","29X2022.11.14.18.04.39",FALSE
