"Date/Time","City","State","Country","Shape","Duration","Summary","Posted","Image","URL","ID","madar"
"9/8/22 01:30","Gatlinburg","TN","USA","Disk","15 mins","Bright round light appeared and disappeared shot into atmosphere then a bolt of lightning lit up sky","9/9/22","","https://www.nuforc.org/webreports/reports/171/S171638.html","1X2022.09.15.20.54.06",FALSE
"9/7/22 08:10","Wappingers falls","NY","USA","Cigar","3 minutes while deiving","Large cigar shaped object made up of 5 or 6 spheres","9/9/22","Yes","https://www.nuforc.org/webreports/reports/171/S171634.html","2X2022.09.15.20.54.06",FALSE
"9/7/22 05:00","Tucson","AZ","USA","Formation","2 -3 mins","a straight line of 70-100 (maybe more) lights in the sky moving silently","9/9/22","","https://www.nuforc.org/webreports/reports/171/S171627.html","3X2022.09.15.20.54.06",FALSE
"9/7/22 00:00","Richmond","VA","USA","Sphere","1-2 seconds","A bright white object appeared in the sky, then shot straight up into the air leaving a bright tail, then everything disappeared.","9/9/22","","https://www.nuforc.org/webreports/reports/171/S171621.html","4X2022.09.15.20.54.06",FALSE
"9/6/22 23:45","Brookhaven","GA","USA","Cylinder","Slow and low maybe 1 min","Very low flying large object. You could hear a hum. Rounded nose cylindrical slight flare near tail. Belly was dark with white area.","9/9/22","","https://www.nuforc.org/webreports/reports/171/S171610.html","5X2022.09.15.20.54.06",FALSE
"9/6/22 23:44","Los Gatos","CA","USA","Oval","3 seconds","White high-speed tik-tak seen in night sky.","9/9/22","","https://www.nuforc.org/webreports/reports/171/S171622.html","6X2022.09.15.20.54.06",FALSE
"9/6/22 22:25","Midland","TX","USA","Fireball","45 seconds to 1 minute.","I noticed NE of my house an orange ball of light headed SW.","9/9/22","","https://www.nuforc.org/webreports/reports/171/S171620.html","7X2022.09.15.20.54.06",FALSE
"9/6/22 22:00","Glenns ferry","ID","USA","Light","Approximately 5-8 minutes","Several lights, that lit up one at a time, flew up, dimmed out..NOT STARLINK","9/9/22","","https://www.nuforc.org/webreports/reports/171/S171611.html","8X2022.09.15.20.54.06",FALSE
"9/6/22 19:40","Lago vista","TX","USA","Circle","20-25 minutes","Was near the house again","9/9/22","","https://www.nuforc.org/webreports/reports/171/S171619.html","9X2022.09.15.20.54.06",FALSE
"9/6/22 19:10","PRICE","UT","USA","Rectangle","about two minutes","UFO Sighting by two 5th graders - large square shape, erratic movements, in evening sky above Price Utah","9/9/22","Yes","https://www.nuforc.org/webreports/reports/171/S171637.html","10X2022.09.15.20.54.06",FALSE
"9/6/22 04:40","Santa Monica","CA","USA","Circle","30 minutes","I spinning craft that was hovering for a long time with unusual bursts of light and changing colors","9/9/22","Yes","https://www.nuforc.org/webreports/reports/171/S171617.html","11X2022.09.15.20.54.06",FALSE
"9/6/22 04:40","Santa Monica","CA","USA","Circle","30 minutes","I took videos and photos of a ufo that was spinning and hovering with unusual lights that changed color and bursted","9/9/22","Yes","https://www.nuforc.org/webreports/reports/171/S171613.html","12X2022.09.15.20.54.06",FALSE
"9/6/22 03:20","Phoenix","AZ","USA","Formation","2 to 3 seconds","Saw at least 15 orange/yellow ball of light (may be more) formed together moving horizontally","9/9/22","","https://www.nuforc.org/webreports/reports/171/S171624.html","13X2022.09.15.20.54.06",FALSE
"9/6/22 01:25","Irvine","CA","USA","Light","minute or two","Big light in the sky changing colors.","9/9/22","Yes","https://www.nuforc.org/webreports/reports/171/S171623.html","14X2022.09.15.20.54.06",FALSE
"9/5/22 20:00","","CA","USA","Formation","well over 5 minutes","We saw in the sky a formation of lights which made a triangular pattern moving slowly across the sky from east to west.","9/9/22","","https://www.nuforc.org/webreports/reports/171/S171609.html","15X2022.09.15.20.54.06",FALSE
"9/5/22 13:00","Near Portland","OR","USA","Oval","30 seconds","Saw a fast flying oval not far from where I was.","9/9/22","","https://www.nuforc.org/webreports/reports/171/S171603.html","16X2022.09.15.20.54.06",FALSE
"9/5/22 12:45","Friday harbor","WA","USA","Light","3 seconds","UFO appears briefly behind a high altitude south bound jet.","9/9/22","","https://www.nuforc.org/webreports/reports/171/S171601.html","17X2022.09.15.20.54.06",FALSE
"9/5/22 06:12","Casper","WY","USA","Cigar","2min.","White, glowing cigar shaped object","9/9/22","","https://www.nuforc.org/webreports/reports/171/S171591.html","18X2022.09.15.20.54.06",FALSE
"9/5/22 05:15","Lees Summit","MO","USA","Other","around 5 to 7 minutes","Lights in Sky","9/9/22","","https://www.nuforc.org/webreports/reports/171/S171589.html","19X2022.09.15.20.54.06",FALSE
"9/5/22 05:13","Foley","AL","USA","Rectangle","Two minutes","Non-moving rectangular row of lights","9/9/22","Yes","https://www.nuforc.org/webreports/reports/171/S171607.html","20X2022.09.15.20.54.06",FALSE
"9/5/22 05:00","Wadebridge Cornwall","Cornwall","United Kingdom","Circle","1 minute","Star like objects traveling at speed behind a circular shaped cloud.","9/9/22","","https://www.nuforc.org/webreports/reports/171/S171604.html","21X2022.09.15.20.54.06",FALSE
"9/5/22 04:15","Dartmouth","MA","USA","Cigar","5-10 minutes","Long bright light Almost stationary then moving at a steady pace.","9/9/22","Yes","https://www.nuforc.org/webreports/reports/171/S171606.html","22X2022.09.15.20.54.06",FALSE
"9/4/22 23:30","Mondovi","WI","USA","Circle","30 min","Light above trees moving erratically, but also purposefully. We watched the craft ascend and descend and fly circles around the treetop","9/9/22","","https://www.nuforc.org/webreports/reports/171/S171631.html","23X2022.09.15.20.54.06",FALSE
"9/4/22 22:48","Apple valley","CA","USA","Light","2 seconds","Recorded bright glowing craft shoot up from ground at an angle to the clouds and then level off at high rate of speed","9/9/22","","https://www.nuforc.org/webreports/reports/171/S171585.html","24X2022.09.15.20.54.06",FALSE
"9/4/22 22:25","Wilmington","NC","USA","Circle","1 minute","Bright orange fire ball like light falling from sky then light disappears completely. Look left and see a silver disc moving slowly","9/9/22","","https://www.nuforc.org/webreports/reports/171/S171577.html","25X2022.09.15.20.54.06",FALSE
"9/4/22 22:24","Louisburg","NC","USA","Other","About one minute","Kind of a V shape with a dull orange glow. It was very large and slowly moving.","9/9/22","","https://www.nuforc.org/webreports/reports/171/S171582.html","26X2022.09.15.20.54.06",FALSE
"9/4/22 22:20","Wilber-By-the-Sea","FL","USA","Fireball","Heard: 1 min Seen: 5 sec","We heard a low intermittent unexplained rumble then a bright fireball took off headed away from us.","9/9/22","","https://www.nuforc.org/webreports/reports/171/S171578.html","27X2022.09.15.20.54.06",FALSE
"9/4/22 22:18","Mastic Beach","NY","USA","Other","About three full seconds","A crescent-shaped light that seemed to be cut off by going behind something.","9/9/22","","https://www.nuforc.org/webreports/reports/171/S171579.html","28X2022.09.15.20.54.06",FALSE
"9/4/22 22:18","Norfolk","VA","USA","Unknown","2-4 minutes","Just got home from seeing our grandchildren. We were sitting out front facing our house, which faces us towards the Chesapeake Bay!","9/9/22","","https://www.nuforc.org/webreports/reports/171/S171588.html","29X2022.09.15.20.54.06",FALSE
"9/4/22 22:18","Norfolk","VA","USA","Other","2 minutes","Saw an object in the sky with a white flowing glow around it move through the sky, at a fast, smooth rate and then disappear in the sky","9/9/22","Yes","https://www.nuforc.org/webreports/reports/171/S171595.html","30X2022.09.15.20.54.06",FALSE
"9/4/22 21:15","Cambridge","England","United Kingdom","Circle","2 minutes","Strange Craft","9/9/22","","https://www.nuforc.org/webreports/reports/171/S171572.html","31X2022.09.15.20.54.06",FALSE
"9/4/22 20:00","San Clemente","CA","USA","Light","About 3-4 minutes.","Unidentified lights in night sky","9/9/22","","https://www.nuforc.org/webreports/reports/171/S171581.html","32X2022.09.15.20.54.06",FALSE
"9/4/22 03:30","Assateague Island","VA","USA","Changing","Hour +","Rapidly moving craft changing shapes","9/9/22","","https://www.nuforc.org/webreports/reports/171/S171618.html","33X2022.09.15.20.54.06",FALSE
"9/4/22 02:00","nr Matlock","Derbyshire","United Kingdom","Unknown","15 mins","Behind the house the light was emitting from the clouds like search lights, white and pulsating.","9/9/22","","https://www.nuforc.org/webreports/reports/171/S171587.html","34X2022.09.15.20.54.06",FALSE
