"","Date/Time","City","State","Country","Shape","Duration","Summary","Posted","Image","URL","ID","madar"
"1","4/22/22 11:00","Mansfield","OH","USA","Cigar","15 min","It was at least a mile long .all lite up .","4/22/22",NA,"https://www.nuforc.org/webreports/reports/167/S167569.html","1X2022.04.30.18.48.20",FALSE
"2","4/22/22 05:35","Howard City","MI","USA","Cross","5 minutes","It was Shaped like a capitalized letter ""T""","4/22/22","Yes","https://www.nuforc.org/webreports/reports/167/S167562.html","2X2022.04.30.18.48.20",FALSE
"3","4/22/22 00:12","Tipton","IN","USA","Cigar","Saw the craft for 5-10min","Saw a cigar shaped craft with lights on the underneath hovering above the city flying at fast speeds  ((Starlink satellites??))","4/22/22","Yes","https://www.nuforc.org/webreports/reports/167/S167566.html","3X2022.04.30.18.48.20",FALSE
"4","4/21/22 22:55","East Concord","NY","USA","Cylinder","5 minutes","It was a silver/grey large cylinder shaped, moving slow and silent, going from north to south, as we tried to video it, it faded out.","4/22/22",NA,"https://www.nuforc.org/webreports/reports/167/S167570.html","4X2022.04.30.18.48.20",FALSE
"5","4/21/22 22:02","Blairsville","PA","USA","Cigar","2minutes","Long cylinder, could see was metallic. Looked yellowish, lights along top.","4/22/22",NA,"https://www.nuforc.org/webreports/reports/167/S167581.html","5X2022.04.30.18.48.20",FALSE
"6","4/21/22 22:00",NA,"WV","USA","Cylinder","Long lots of white lights","I saw this object flying over me it was long in shape lots of white lights then it was gone","4/22/22",NA,"https://www.nuforc.org/webreports/reports/167/S167580.html","6X2022.04.30.18.48.20",FALSE
"7","4/21/22 21:56","Akron","OH","USA","Cigar","Approx 30 -45 seconds","What at first appeared to be a weird cloud moving east turned cigarshaped with lights on side then disappe","4/22/22",NA,"https://www.nuforc.org/webreports/reports/167/S167577.html","7X2022.04.30.18.48.20",FALSE
"8","4/21/22 21:52",NA,"WV","USA",NA,NA,"4 aircraft reported, many pilots discussed on frequency.  ((NUFORC Note:  Report from /faa employee.  Starlink satellites??  PD))","4/22/22",NA,"https://www.nuforc.org/webreports/reports/167/S167563.html","8X2022.04.30.18.48.20",FALSE
"9","4/21/22 21:51","Bloomington","IN","USA","Formation","1 minute","String of lights heading west to east across sky.","4/22/22",NA,"https://www.nuforc.org/webreports/reports/167/S167578.html","9X2022.04.30.18.48.20",FALSE
"10","4/21/22 21:50","Painesville","OH","USA","Other","2-3 mins. that we saw","Straight line of lights in formation","4/22/22",NA,"https://www.nuforc.org/webreports/reports/167/S167579.html","10X2022.04.30.18.48.20",FALSE
